"Groups","Category","Barcode Ref","Product Name","Cost","Selling Price","VAT £","Expr1007","Gross Margin £","Gross Margin %","Qty Stock (Current Mth)","Sales Value (Current Mth)","Stock Value (Current Mth)","Purchases Qty","Sales Qty","Gross Margin £ Total","Net Selling Price"
"Kid's Gifts","Picturemaps","33124","Sticker Book","1,50","4,00","0,67","3,33","1,83","45,83%","1.359,00","86,58","2.038,50","0,00","26,00","47,67","3,33"
"Kid's Gifts","Picturemaps","33123","Juggling Balls","0,95","4,00","0,67","3,33","2,38","59,58%","1.255,00","313,02","1.192,25","0,00","94,00","224,03","3,33"
"Kid's Gifts","Picturemaps","33122","Thimble","1,16","4,00","0,60","3,40","2,24","56,11%","967,00","112,20","1.121,72","0,00","33,00","74,06","3,40"
"Kid's Gifts","Picturemaps","33121","Poster to Colour","0,69","2,00","0,33","1,67","0,98","48,83%","890,00","155,31","614,10","0,00","93,00","90,83","1,67"
"Kid's Gifts","Picturemaps","33127","Globe Ruler","0,60","2,50","0,42","2,08","1,48","59,33%","4.664,00","29,12","2.798,40","0,00","14,00","20,77","2,08"
"Cards & Postcards","Postcard","10000391","60p Postcard","0,08","0,60","0,10","0,50","0,42","70,00%","13.766,00","699,00","1.101,28","0,00","1.398,00","587,16","0,50"
"Cards & Postcards","Postcard","10000392","80p Postcard","0,16","0,80","0,13","0,67","0,51","63,33%","7.575,00","464,98","1.212,00","0,00","694,00","351,65","0,67"
"Cards & Postcards","Postcard","224875","Postcard Pack","1,18","4,00","0,60","3,40","2,22","55,61%","510,00","34,00","601,80","0,00","10,00","22,24","3,40"
"Cards & Postcards","Postcard","225846","Schuch Postcard","0,40","1,00","0,15","0,85","0,45","45,11%","136,00","124,10","54,40","0,00","146,00","65,86","0,85"
"Gifts","Poster","10006852","Visscher View Poster","0,89","6,00","1,00","5,00","4,11","68,50%","1.423,00","440,00","1.266,47","0,00","88,00","361,68","5,00"
"Gifts","Poster","13","Henry VIII Poster","0,97","3,00","0,50","2,50","1,53","51,00%","276,00","40,00","267,72","0,00","16,00","24,48","2,50"
"Gifts","Poster","77562383","Film Strip Poster","0,86","6,00","1,00","5,00","4,14","69,00%","266,00","80,00","228,76","0,00","16,00","66,24","5,00"
"Gifts","Poster","92234365","Cranwell Poster","0,92","6,00","1,00","5,00","4,08","68,00%","1.833,00","230,00","1.686,36","0,00","46,00","187,68","5,00"
"Gifts","Poster","10000773","Quoting Shakespeare Poster","0,29","6,00","1,00","5,00","4,71","78,50%","4.425,00","1.535,00","1.283,25","0,00","307,00","1.445,97","5,00"
"Gifts","Poster","10000771","Panoramic Poster","1,25","6,00","1,00","5,00","3,75","62,50%","507,00","90,00","633,75","0,00","18,00","67,50","5,00"
"Gifts","Poster","10000765","Costume Poster","0,69","6,00","1,00","5,00","4,31","71,83%","27,00","60,00","18,63","0,00","12,00","51,72","5,00"
"Gifts","Poster","789654","Poster Tube","0,32","1,00","0,17","0,83","0,51","51,33%","14,00","22,41","4,48","0,00","27,00","13,86","0,83"
"Gifts","Poster","10000775","Timeline Poster","1,24","6,00","1,00","5,00","3,76","62,67%","586,00","715,00","726,64","0,00","143,00","537,68","5,00"
"Gifts","Programme","10000778","Theatre Programme","1,50","3,50","0,58","2,92","1,42","40,48%","0,00","0,00","0,00","0,00","0,00","0,00","2,92"
"Kid's Gifts","Puppets & Dolls","5032311015096","Mini Shakespeare Figure","0,63","2,00","0,30","1,70","1,07","53,61%","130,00","113,90","81,90","0,00","67,00","71,83","1,70"
"Kid's Gifts","Puppets & Dolls","5060091080195","Plague Rat","5,20","14,00","2,33","11,67","6,47","46,19%","78,00","326,76","405,60","0,00","28,00","181,07","11,67"
"Kid's Gifts","Puppets & Dolls","5060160080385","Puppet Kit","5,15","12,00","1,79","10,21","5,06","42,19%","7,00","20,42","36,05","0,00","2,00","10,13","10,21"
"Clothing & Bags","Rainwear","10000523","Rain Mac","0,69","2,50","0,42","2,08","1,39","55,73%","1.989,00","54,08","1.372,41","0,00","26,00","36,23","2,08"
"gifts","Ring","46328778","Rose Ring","4,25","14,00","2,33","11,67","7,42","52,98%","481,00","560,16","2.044,25","0,00","48,00","356,00","11,67"
"gifts","Ring","473","Leather Ring","1,50","6,00","0,89","5,11","3,61","60,11%","54,00","265,72","81,00","0,00","52,00","187,53","5,11"
"gifts","Ring","58533246","Mask Ring","2,25","6,00","1,00","5,00","2,75","45,83%","216,00","155,00","486,00","0,00","31,00","85,25","5,00"
"Services","Shop Services","65871513","Carrier Bag","0,11","0,05","0,00","0,05","-0,06","-110,00%","0,00","26,70","0,00","0,00","534,00","-29,37","0,05"
"sales","Specials","5558882","Sale Card","0,00","0,10","0,02","0,08","0,08","83,33%","-3,00","0,24","0,00","0,00","3,00","0,25","0,08"
"sales","Specials","61831814","Sale Tee","0,00","5,00","0,83","4,17","4,17","83,33%","23,00","66,72","0,00","0,00","16,00","66,67","4,17"
"sales","Specials","995632","Wrapping Paper","0,00","0,10","0,01","0,09","0,09","85,11%","-956,00","33,30","0,00","0,00","370,00","31,49","0,09"
"sales","Specials","995641","Sale Print","0,00","4,00","0,60","3,40","3,40","85,11%","2,00","27,20","0,00","0,00","8,00","27,23","3,40"
"sales","Specials","1000","Piazza Sale","0,00","1,00","0,17","0,83","0,83","83,33%","-300,00","61,42","0,00","0,00","74,00","61,66","0,83"
"Stamps","Stamps","5014721112268","First Class","2,17","2,46","0,00","2,46","0,29","11,79%","164,00","22,14","355,88","0,00","9,00","2,61","2,46"
"Stamps","Stamps","5014721118482","Worldwide","2,54","2,68","0,00","2,68","0,14","5,22%","525,00","144,72","1.333,50","0,00","54,00","7,56","2,68"
"Clothing & Bags","Tees","326599","Ophelia's Song Tee","3,75","20,00","2,98","17,02","13,27","66,36%","256,00","902,06","960,00","0,00","53,00","703,38","17,02"
"Clothing & Bags","Tees","554721","StarvlingTee","3,75","10,00","1,67","8,33","4,58","45,83%","67,00","66,64","251,25","0,00","8,00","36,67","8,33"
"Clothing & Bags","Tees","2216","Yorick Tee","3,75","20,00","3,33","16,67","12,92","64,58%","0,00","0,00","0,00","0,00","0,00","0,00","16,67"
"Clothing & Bags","Tees","55421","Midsummer Tee","3,75","20,00","2,98","17,02","13,27","66,36%","192,00","204,24","720,00","0,00","12,00","159,26","17,02"
"Clothing & Bags","Tees","85245","Damned Spot Tee","8,25","24,00","4,00","20,00","11,75","48,96%","826,00","1.120,00","6.814,50","0,00","56,00","658,00","20,00"
"Clothing & Bags","Tees","547812","Thought is Free Tee","3,95","20,00","2,98","17,02","13,07","65,36%","326,00","561,66","1.287,70","0,00","33,00","431,35","17,02"
"Clothing & Bags","Tees","542117","Something Wicked Tee","3,85","20,00","3,33","16,67","12,82","64,08%","286,00","650,13","1.101,10","0,00","39,00","499,85","16,67"
