50	730266000543		LD001CM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	6X-7	20	0			
50	730266000550		LD001CM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	8-10	20	0			
50	730266000567		LD001CM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	1214	20	0			
50	730266000574		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	26	0			
50	730266000581		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	26	0			
50	730266000598		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	26	0			
50	730266000604		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	26	0			
50	730266000611		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	XL	26	0			
50	730266025324		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	26	0			
50	730266025331		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	26	0			
50	730266025348		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	26	0			
50	730266025355		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	26	0			
50	730266000628		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	P	26	0			
50	730266000635		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	S	26	0			
50	730266000642		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	M	26	0			
50	730266000659		LD001LM   	CORE CAMI LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	L	26	0			
50	730266000666		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	4-6	20	0			
50	730266000673		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	6X-7	20	0			
50	730266000680		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	8-10	20	0			
50	730266000697		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	1214	20	0			
50	730266000703		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	4-6	20	0			
50	730266000710		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	6X-7	20	0			
50	730266000727		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	8-10	20	0			
50	730266000734		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	1214	20	0			
50	730266025362		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	4-6	20	0			
50	730266025379		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	6X-7	20	0			
50	730266025386		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	8-10	20	0			
50	730266025393		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	1214	20	0			
50	730266000741		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	4-6	20	0			
50	730266000758		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	6X-7	20	0			
50	730266000765		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	8-10	20	0			
50	730266000772		LD002CM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	1214	20	0			
50	730266000789		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	26	0			
50	730266000796		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	26	0			
50	730266000802		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	26	0			
