30	688478743690		ADND      	AMT 	_ 	P	0	AT ONCE
30	688478743706		ADND      	AMT 	_ 	S	0	AT ONCE
30	688478743713		ADND      	AMT 	_ 	M	0	AT ONCE
30	688478743720		ADND      	AMT 	_ 	L	0	AT ONCE
30	688478743737		ADND      	BLK 	_ 	CM	0	AT ONCE
30	688478743744		ADND      	BLK 	_ 	CL	0	AT ONCE
30	688478743751		ADND      	BLK 	_ 	P	0	AT ONCE
30	688478743768		ADND      	BLK 	_ 	S	0	AT ONCE
30	688478743775		ADND      	BLK 	_ 	M	0	AT ONCE
30	688478743782		ADND      	BLK 	_ 	L	0	AT ONCE
30	688478743799		ADND      	COR 	_ 	CM	0	AT ONCE
30	688478743805		ADND      	COR 	_ 	CL	0	AT ONCE
30	688478743812		ADND      	COR 	_ 	P	0	AT ONCE
30	688478743829		ADND      	COR 	_ 	S	0	AT ONCE
30	688478743836		ADND      	COR 	_ 	M	0	AT ONCE
30	688478743843		ADND      	COR 	_ 	L	0	AT ONCE
30	688478743850		ADND      	DNM 	_ 	CM	0	AT ONCE
30	688478743867		ADND      	DNM 	_ 	CL	0	AT ONCE
30	688478743874		ADND      	DNM 	_ 	P	0	AT ONCE
30	688478743881		ADND      	DNM 	_ 	S	0	AT ONCE
30	688478743898		ADND      	DNM 	_ 	M	0	AT ONCE
30	688478743904		ADND      	DNM 	_ 	L	0	AT ONCE
30	688478743911		ADND      	DTL 	_ 	CM	0	AT ONCE
30	688478743928		ADND      	DTL 	_ 	CL	0	AT ONCE
30	688478743935		ADND      	DTL 	_ 	P	0	AT ONCE
30	688478743942		ADND      	DTL 	_ 	S	0	AT ONCE
30	688478743959		ADND      	DTL 	_ 	M	0	AT ONCE
30	688478743966		ADND      	DTL 	_ 	L	0	AT ONCE
30	688478743973		ADND      	KHK 	_ 	CM	0	AT ONCE
30	688478743980		ADND      	KHK 	_ 	CL	0	AT ONCE
30	688478743997		ADND      	KHK 	_ 	P	0	AT ONCE
30	688478744000		ADND      	KHK 	_ 	S	0	AT ONCE
30	688478744017		ADND      	KHK 	_ 	M	0	AT ONCE
30	688478744024		ADND      	KHK 	_ 	L	0	AT ONCE
30	688478744093		ADND      	WPL 	_ 	CM	0	AT ONCE
30	688478744109		ADND      	WPL 	_ 	CL	0	AT ONCE
30	688478744116		ADND      	WPL 	_ 	P	0	AT ONCE
30	688478744123		ADND      	WPL 	_ 	S	0	AT ONCE
30	688478744130		ADND      	WPL 	_ 	M	0	AT ONCE
30	688478744147		ADND      	WPL 	_ 	L	0	AT ONCE
30	688478744215		AFBS      	AMT 	_ 	CM	0	AT ONCE
30	688478744222		AFBS      	AMT 	_ 	CL	0	AT ONCE
30	688478744239		AFBS      	AMT 	_ 	P	0	AT ONCE
30	688478744246		AFBS      	AMT 	_ 	S	0	AT ONCE
30	688478744253		AFBS      	AMT 	_ 	M	0	AT ONCE
30	688478744260		AFBS      	AMT 	_ 	L	0	AT ONCE
30	688478744277		AFBS      	BLK 	_ 	CM	0	AT ONCE
30	688478744284		AFBS      	BLK 	_ 	CL	0	AT ONCE
30	688478744291		AFBS      	BLK 	_ 	P	0	AT ONCE
30	688478744307		AFBS      	BLK 	_ 	S	0	AT ONCE
30	688478744314		AFBS      	BLK 	_ 	M	0	AT ONCE
30	688478744321		AFBS      	BLK 	_ 	L	0	AT ONCE
30	688478744338		AFBS      	BPL 	_ 	CM	0	AT ONCE
30	688478744345		AFBS      	BPL 	_ 	CL	0	AT ONCE
30	688478744352		AFBS      	BPL 	_ 	P	0	AT ONCE
30	688478744369		AFBS      	BPL 	_ 	S	0	AT ONCE
30	688478744376		AFBS      	BPL 	_ 	M	0	AT ONCE
30	688478744383		AFBS      	BPL 	_ 	L	0	AT ONCE
30	688478744390		AFBS      	CC1 	_ 	CM	0	AT ONCE
30	688478744406		AFBS      	CC1 	_ 	CL	0	AT ONCE
30	688478744413		AFBS      	CC1 	_ 	P	0	AT ONCE
